                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.52981,                0.83326,                0.90833,                0.82197,                0.98771,                0.94175,                0.87311,                0.41964,                0.54331,                0.87184,               0.005512,               0.005512,               0.005512
                    138,                0.48354,                0.73516,                0.88772,                0.83834,                0.98571,                0.93931,                0.86409,                0.41606,                0.55492,                0.87797,               0.005479,               0.005479,               0.005479
                    139,                 0.5089,                0.81792,                  0.926,                 0.7978,                0.98028,                0.93851,                 0.8606,                 0.3871,                0.52753,                0.85488,               0.005446,               0.005446,               0.005446
                    140,                0.54531,                0.80975,                0.91673,                0.80487,                 0.9913,                0.92968,                0.87571,                0.35437,                0.51917,                0.83839,               0.005413,               0.005413,               0.005413
                    141,                 0.5156,                0.77001,                0.91756,                0.82116,                0.98367,                 0.9268,                0.85188,                0.35971,                0.48382,                0.83106,                0.00538,                0.00538,                0.00538
                    142,                0.50894,                0.70882,                0.89988,                0.87253,                0.94481,                0.92701,                0.85381,                0.34769,                0.47716,                0.82855,               0.005347,               0.005347,               0.005347
                    143,                 0.5719,                0.69999,                0.91246,                0.84214,                0.97369,                0.92503,                0.85614,                 0.3506,                0.46709,                0.82881,               0.005314,               0.005314,               0.005314
                    144,                 0.4785,                0.76742,                0.89472,                0.84011,                 0.9685,                0.93773,                0.87243,                 0.3601,                0.45077,                0.83128,               0.005281,               0.005281,               0.005281
                    145,                0.53439,                0.70874,                0.92634,                0.82936,                0.96978,                  0.938,                 0.8756,                0.36449,                0.48315,                0.84066,               0.005248,               0.005248,               0.005248
                    146,                0.51939,                0.71721,                0.89555,                 0.8118,                0.98964,                  0.935,                0.85631,                 0.4105,                0.51577,                0.86233,               0.005215,               0.005215,               0.005215
                    147,                0.48063,                0.68176,                0.91784,                0.81108,                0.99545,                0.93283,                0.83342,                0.49385,                0.58621,                0.94836,               0.005182,               0.005182,               0.005182
                    148,                0.51727,                0.73497,                 0.9685,                0.83606,                0.99681,                0.93768,                0.85701,                0.44772,                0.52969,                0.89883,               0.005149,               0.005149,               0.005149
                    149,                0.55771,                0.77589,                0.96124,                 0.8392,                 0.9628,                 0.9395,                0.85286,                0.43837,                0.47647,                0.87231,               0.005116,               0.005116,               0.005116
                    150,                0.51574,                 0.7285,                0.93431,                0.84035,                0.97322,                0.94063,                0.86228,                0.39148,                0.46488,                 0.8536,               0.005083,               0.005083,               0.005083
                    151,                0.52714,                0.74336,                0.94393,                0.88744,                0.92915,                0.93644,                0.88028,                0.37068,                0.45977,                0.84118,                0.00505,                0.00505,                0.00505
                    152,                0.48733,                0.80507,                0.93838,                0.84765,                      1,                0.93627,                 0.8872,                0.38689,                0.45415,                0.86114,               0.005017,               0.005017,               0.005017
                    153,                 0.4754,                0.73508,                0.90352,                0.82541,                0.98571,                0.93543,                0.87026,                0.37307,                0.46629,                0.84258,               0.004984,               0.004984,               0.004984
                    154,                0.52855,                0.70477,                0.90198,                0.82583,                0.98571,                0.94431,                0.87211,                0.36866,                0.45019,                0.83908,               0.004951,               0.004951,               0.004951
                    155,                0.51389,                0.76872,                0.95227,                0.87562,                0.96749,                0.93566,                0.86235,                0.38388,                0.44624,                0.84376,               0.004918,               0.004918,               0.004918
